territorio,renta_bruta_media,gini_renta_bruta,n_declarantes,fuente_estado
ES-AN,26065,0.34,4853675,AEAT_2023
ES-AR,30105,0.32,859352,AEAT_2023
ES-AS,30446,0.32,638511,AEAT_2023
ES-IB,33961,0.33,669985,AEAT_2023
ES-CN,25000,0.34,1100000,ESTIMADO
ES-CB,30116,0.32,357766,AEAT_2023
ES-CM,25000,0.33,950000,ESTIMADO
ES-CL,26500,0.32,1300000,ESTIMADO
ES-CT,34556,0.34,3726046,AEAT_2023_sujeta
ES-EX,23419,0.33,629170,AEAT_2023
ES-GA,26200,0.32,1550000,ESTIMADO
ES-MD,40801,0.36,4213170,AEAT_2023
ES-MC,27013,0.33,852626,AEAT_2023
ES-RI,29000,0.32,190000,ESTIMADO
ES-VC,26000,0.34,2650000,ESTIMADO
ES-PV-BI,35000,0.30,600000,ESTIMADO_foral
ES-PV-SS,36000,0.30,380000,ESTIMADO_foral
ES-PV-VI,35000,0.30,180000,ESTIMADO_foral
ES-NC,33000,0.31,360000,ESTIMADO_foral
